prov;tahun;apbd;kemiskinan;gini;share_pdrb;pdrb;pma_proyek;pma_inves;IPM;kesehatan;pendidikan;persos;belanja_total
Maluku;2015;3340,8;19,51;0,34;0,002963167;24859;48.0;3,419444444;67,05;5,76775E+11;2,22869E+12;1,03462E+11;2,90893E+12
Maluku;2016;4283,7;19,18;0,348;0,002951181;26284;50.0;4,254166667;67,6;8,23295E+11;2,34233E+12;1,31568E+11;3,29719E+12
Maluku;2017;4317,6;18,45;0,343;0,002918629;27814;34.0;8,833333333;68,19;1,07514E+12;2,01367E+12;1,44398E+11;3,2332E+12
Maluku Utara;2015;2061,5;6,84;0,28;0,002298195;20380;62.0;8,463888889;65,91;5,27958E+11;1,14379E+12;92288153265;1,76403E+12
Maluku Utara;2016;2921,5;6,33;0,286;0,002321686;21557;67.0;18,25625;66,63;7,68818E+11;1,20477E+12;1,23461E+11;2,09705E+12
Maluku Utara;2017;3909,1;6,35;0,317;0,002361785;23211;28.0;9,500694444;67,2;9,91554E+11;1,22078E+12;1,52834E+11;2,36517E+12
Nusa Tenggara Barat;2015;6681,3;17,1;0,368;0,009116131;89338;373.0;29,12777778;65,19;1,36832E+12;4,66164E+12;1,62566E+11;6,19253E+12
Nusa Tenggara Barat;2016;7483,1;16,48;0,359;0,00927578;94524;636.0;18,29166667;65,81;1,92E+12;4,80617E+12;2,02769E+11;6,92894E+12
Nusa Tenggara Barat;2017;9622,4;16,07;0,371;0,009061651;94608;604.0;5,500694444;66,58;2,07273E+12;3,94144E+12;2,16218E+11;6,23038E+12
Nusa Tenggara Timur;2015;7424,5;22,61;0,339;0,006567253;56771;104.0;2,88125;62,67;1,85243E+12;4,93459E+12;2,30531E+11;7,01755E+12
Nusa Tenggara Timur;2016;8907,5;22,19;0,336;0,006669655;59678;164.0;2,418055556;63,13;2,42237E+12;4,82977E+12;2,77359E+11;7,5295E+12
Nusa Tenggara Timur;2017;10201,9;21,85;0,359;0,006641959;62725;166.0;5,791666667;63,73;3,18152E+12;4,25732E+12;2,5551E+11;7,69435E+12
Papua;2015;8385,1;25,82;0,421;0,012967626;130312;96.0;37,375;57,25;2,43896E+12;4,00409E+12;6,99507E+11;7,14255E+12
Papua;2016;11421,1;28,54;0,39;0,013795137;142225;169.0;48,66944444;58,05;3,54727E+12;3,94932E+12;7,68388E+11;8,26498E+12
Papua;2017;13121,2;25,1;0,397;0,013826947;148818;135.0;80,16736111;59,09;4,06522E+12;4,09813E+12;7,43665E+11;8,90702E+12
Papua Barat;2015;3403,5;28,17;0,44;0,005425608;52346;133.0;10,75416667;61,73;8,57734E+11;1,44388E+12;2,72967E+11;2,57458E+12
Papua Barat;2016;4347,3;25,43;0,373;0,005306801;54711;126.0;21,42013889;62,21;1,17078E+12;1,53166E+12;2,50924E+11;2,95336E+12
Papua Barat;2017;4492,2;27,62;0,39;0,005253469;56908;87.0;3,504861111;62,99;1,1605E+12;1,37218E+12;2,52619E+11;2,7853E+12
Riau;2015;6441,5;8,42;0,364;0,056316425;448992;243.0;27,21111111;70,84;1,29388E+12;4,91996E+12;2,27684E+11;6,44152E+12
Riau;2016;13807,8;7,98;0,347;0,054293594;458769;394.0;36,20902778;71,2;1,47506E+12;4,4924E+12;1,75822E+11;6,14328E+12
Riau;2017;11992,8;7,78;0,325;0,051572024;470984;285.0;44,20902778;71,79;1,60943E+12;3,79181E+12;1,73624E+11;5,57487E+12
Sulawesi Barat;2015;716,6;12,9;0,363;0,002845971;25964;24.0;0,083333333;62,96;1,9519E+11;5,0411E+11;17330465986;7,1663E+11
Sulawesi Barat;2016;3144,7;11,74;0,364;0,002862838;27525;28.0;0,8375;63,6;3,02062E+11;5,18301E+11;23848960479;8,44211E+11
Sulawesi Barat;2017;2695,1;12,81;0,354;0,002890516;29282;16.0;0,461111111;64,3;3,03527E+11;4,14716E+11;20139516186;7,38382E+11
Sulawesi Selatan;2015;10502,9;14,66;0,42;0,029366861;250803;165.0;9,710416667;69,15;2,51171E+12;7,28635E+12;2,78379E+11;1,00764E+13
Sulawesi Selatan;2016;16545;9,4;0,426;0,030034659;269401;309.0;15,50347222;69,76;3,76843E+12;7,38714E+12;3,24362E+11;1,14799E+13
Sulawesi Selatan;2017;17190,8;14,14;0,407;0,030413753;288814;196.0;29,67222222;70,34;4,23788E+12;5,96394E+12;3,69681E+11;1,05715E+13
Sulawesi Tengah;2015;4391,3;18,32;0,368;0,009280805;82787;194.0;45,20972222;66,76;1,01887E+12;2,81518E+12;1,32246E+11;3,9663E+12
Sulawesi Tengah;2016;6809,7;14,45;0,402;0,009559733;91015;252.0;66,66875;67,47;1,76352E+12;2,9439E+12;1,53139E+11;4,86056E+12
Sulawesi Tengah;2017;7340,6;17,65;0,355;0,009802871;97475;161.0;64,37916667;68,11;1,71331E+12;2,54941E+12;1,99359E+11;4,46208E+12
Sulawesi Tenggara;2015;3018;9,39;0,399;0,007567488;72993;200.0;6,041666667;68,75;6,09242E+11;1,60997E+12;75817683264;2,29503E+12
Sulawesi Tenggara;2016;6148,5;12,88;0,426;0,007725101;77746;210.0;15,66736111;69,31;7,87836E+11;1,85728E+12;91095170078;2,73621E+12
Sulawesi Tenggara;2017;6906,4;9,38;0,394;0,007861509;83002;92.0;28,875;69,86;9,25428E+11;1,74092E+12;83826347638;2,75018E+12
